REGION,YEAR,WEEK,ILITOTAL,STATE_ABBR
New Jersey,2024,43,1255.0,NJ
New Mexico,2024,43,395.0,NM
New York,2024,43,2100.0,NY
North Carolina,2024,43,1844.0,NC
North Dakota,2024,43,133.0,ND
Ohio,2024,43,1250.0,OH
Oklahoma,2024,43,222.0,OK
Oregon,2024,43,378.0,OR
Pennsylvania,2024,43,948.0,PA
Rhode Island,2024,43,188.0,RI
South Carolina,2024,43,819.0,SC
South Dakota,2024,43,73.0,SD
Tennessee,2024,43,652.0,TN
Texas,2024,43,1373.0,TX
Utah,2024,43,183.0,UT
Vermont,2024,43,63.0,VT
Virginia,2024,43,3942.0,VA
Washington,2024,43,1188.0,WA
West Virginia,2024,43,207.0,WV
Wisconsin,2024,43,471.0,WI
Wyoming,2024,43,42.0,WY
Alabama,2024,44,1062.0,AL
Alaska,2024,44,87.0,AK
Arizona,2024,44,1626.0,AZ
Arkansas,2024,44,264.0,AR
California,2024,44,7978.0,CA
Colorado,2024,44,1026.0,CO
Connecticut,2024,44,922.0,CT
Delaware,2024,44,111.0,DE
Florida,2024,44,8301.0,FL
Georgia,2024,44,2708.0,GA
Hawaii,2024,44,744.0,HI
Idaho,2024,44,718.0,ID
Illinois,2024,44,1106.0,IL
Indiana,2024,44,1745.0,IN
Iowa,2024,44,66.0,IA
Kansas,2024,44,213.0,KS
Kentucky,2024,44,1180.0,KY
Louisiana,2024,44,1013.0,LA
Maine,2024,44,252.0,ME
Maryland,2024,44,1300.0,MD
Massachusetts,2024,44,1635.0,MA
Michigan,2024,44,2186.0,MI
Minnesota,2024,44,496.0,MN
Mississippi,2024,44,324.0,MS
Missouri,2024,44,242.0,MO
Montana,2024,44,26.0,MT
Nebraska,2024,44,342.0,NE
Nevada,2024,44,679.0,NV
New Hampshire,2024,44,109.0,NH
New Jersey,2024,44,1132.0,NJ
New Mexico,2024,44,395.0,NM
New York,2024,44,1911.0,NY
North Carolina,2024,44,1906.0,NC
North Dakota,2024,44,95.0,ND
Ohio,2024,44,1176.0,OH
Oklahoma,2024,44,234.0,OK
Oregon,2024,44,432.0,OR
Pennsylvania,2024,44,953.0,PA
Rhode Island,2024,44,178.0,RI
South Carolina,2024,44,840.0,SC
South Dakota,2024,44,68.0,SD
Tennessee,2024,44,710.0,TN
Texas,2024,44,1488.0,TX
Utah,2024,44,194.0,UT
Vermont,2024,44,56.0,VT
Virginia,2024,44,3728.0,VA
Washington,2024,44,1207.0,WA
West Virginia,2024,44,231.0,WV
Wisconsin,2024,44,463.0,WI
Wyoming,2024,44,31.0,WY
Alabama,2024,45,1075.0,AL
Alaska,2024,45,69.0,AK
Arizona,2024,45,1947.0,AZ
Arkansas,2024,45,275.0,AR
California,2024,45,9238.0,CA
Colorado,2024,45,1116.0,CO
Connecticut,2024,45,885.0,CT
Delaware,2024,45,87.0,DE
Florida,2024,45,9565.0,FL
Georgia,2024,45,3025.0,GA
Hawaii,2024,45,754.0,HI
Idaho,2024,45,928.0,ID
Illinois,2024,45,1045.0,IL
Indiana,2024,45,1718.0,IN
Iowa,2024,45,31.0,IA
Kansas,2024,45,226.0,KS
Kentucky,2024,45,1163.0,KY
Louisiana,2024,45,1238.0,LA
Maine,2024,45,248.0,ME
Maryland,2024,45,1394.0,MD
Massachusetts,2024,45,1680.0,MA
Michigan,2024,45,2121.0,MI
Minnesota,2024,45,545.0,MN
Mississippi,2024,45,366.0,MS
Missouri,2024,45,281.0,MO
Montana,2024,45,28.0,MT
Nebraska,2024,45,352.0,NE
Nevada,2024,45,815.0,NV
New Hampshire,2024,45,105.0,NH
New Jersey,2024,45,1157.0,NJ
New Mexico,2024,45,451.0,NM
New York,2024,45,2050.0,NY
North Carolina,2024,45,2038.0,NC
North Dakota,2024,45,107.0,ND
Ohio,2024,45,1204.0,OH
Oklahoma,2024,45,217.0,OK
Oregon,2024,45,500.0,OR
Pennsylvania,2024,45,959.0,PA
Rhode Island,2024,45,163.0,RI
South Carolina,2024,45,895.0,SC
South Dakota,2024,45,82.0,SD
Tennessee,2024,45,964.0,TN
Texas,2024,45,1566.0,TX
Utah,2024,45,226.0,UT
Vermont,2024,45,61.0,VT
Virginia,2024,45,3749.0,VA
Washington,2024,45,1398.0,WA
West Virginia,2024,45,204.0,WV
Wisconsin,2024,45,448.0,WI
Wyoming,2024,45,47.0,WY
Alabama,2024,46,1204.0,AL
Alaska,2024,46,90.0,AK
Arizona,2024,46,2262.0,AZ
Arkansas,2024,46,294.0,AR
California,2024,46,9964.0,CA
Colorado,2024,46,1212.0,CO
Connecticut,2024,46,905.0,CT
Delaware,2024,46,115.0,DE
Florida,2024,46,10304.0,FL
Georgia,2024,46,3002.0,GA
Hawaii,2024,46,713.0,HI
Idaho,2024,46,210.0,ID
Illinois,2024,46,1052.0,IL
Indiana,2024,46,1808.0,IN
Iowa,2024,46,53.0,IA
Kansas,2024,46,263.0,KS
Kentucky,2024,46,1191.0,KY
Louisiana,2024,46,1461.0,LA
Maine,2024,46,210.0,ME
Maryland,2024,46,1196.0,MD
Massachusetts,2024,46,1607.0,MA
Michigan,2024,46,2239.0,MI
Minnesota,2024,46,597.0,MN
Mississippi,2024,46,372.0,MS
Missouri,2024,46,259.0,MO
Montana,2024,46,20.0,MT
Nebraska,2024,46,365.0,NE
Nevada,2024,46,1018.0,NV
New Hampshire,2024,46,110.0,NH
New Jersey,2024,46,1151.0,NJ
New Mexico,2024,46,510.0,NM
New York,2024,46,2079.0,NY
North Carolina,2024,46,2010.0,NC
North Dakota,2024,46,94.0,ND
Ohio,2024,46,1268.0,OH
Oklahoma,2024,46,274.0,OK
Oregon,2024,46,587.0,OR
Pennsylvania,2024,46,1002.0,PA
Rhode Island,2024,46,182.0,RI
South Carolina,2024,46,996.0,SC
South Dakota,2024,46,58.0,SD
Tennessee,2024,46,1019.0,TN
Texas,2024,46,1916.0,TX
Utah,2024,46,290.0,UT
Vermont,2024,46,56.0,VT
Virginia,2024,46,3789.0,VA
Washington,2024,46,1613.0,WA
West Virginia,2024,46,178.0,WV
Wisconsin,2024,46,429.0,WI
Wyoming,2024,46,39.0,WY
Alabama,2024,47,1222.0,AL
Alaska,2024,47,84.0,AK
Arizona,2024,47,2428.0,AZ
Arkansas,2024,47,296.0,AR
California,2024,47,11270.0,CA
Colorado,2024,47,1368.0,CO
Connecticut,2024,47,930.0,CT
Delaware,2024,47,136.0,DE
Florida,2024,47,10108.0,FL
Georgia,2024,47,3514.0,GA
Hawaii,2024,47,830.0,HI
Idaho,2024,47,362.0,ID
Illinois,2024,47,1201.0,IL
Indiana,2024,47,1994.0,IN
Iowa,2024,47,43.0,IA
Kansas,2024,47,321.0,KS
Kentucky,2024,47,1367.0,KY
Louisiana,2024,47,1755.0,LA
Maine,2024,47,219.0,ME
Maryland,2024,47,1357.0,MD
Massachusetts,2024,47,1775.0,MA
Michigan,2024,47,2478.0,MI
Minnesota,2024,47,652.0,MN
Mississippi,2024,47,309.0,MS
Missouri,2024,47,290.0,MO
Montana,2024,47,19.0,MT
Nebraska,2024,47,350.0,NE
Nevada,2024,47,1101.0,NV
New Hampshire,2024,47,129.0,NH
New Jersey,2024,47,1222.0,NJ
New Mexico,2024,47,521.0,NM
New York,2024,47,2169.0,NY
North Carolina,2024,47,2132.0,NC
North Dakota,2024,47,105.0,ND
Ohio,2024,47,1299.0,OH
Oklahoma,2024,47,306.0,OK
Oregon,2024,47,783.0,OR
Pennsylvania,2024,47,961.0,PA
Rhode Island,2024,47,151.0,RI
South Carolina,2024,47,1001.0,SC
South Dakota,2024,47,82.0,SD
Tennessee,2024,47,1019.0,TN
Texas,2024,47,2026.0,TX
Utah,2024,47,342.0,UT
Vermont,2024,47,55.0,VT
Virginia,2024,47,4263.0,VA
Washington,2024,47,1769.0,WA
West Virginia,2024,47,219.0,WV
Wisconsin,2024,47,545.0,WI
Wyoming,2024,47,57.0,WY
Alabama,2024,48,1437.0,AL
Alaska,2024,48,112.0,AK
Arizona,2024,48,2839.0,AZ
Arkansas,2024,48,232.0,AR
California,2024,48,10646.0,CA
Colorado,2024,48,1200.0,CO
Connecticut,2024,48,1014.0,CT
Delaware,2024,48,113.0,DE
Florida,2024,48,9945.0,FL
Georgia,2024,48,3462.0,GA
Hawaii,2024,48,633.0,HI
Idaho,2024,48,381.0,ID
Illinois,2024,48,1085.0,IL
Indiana,2024,48,1839.0,IN
Iowa,2024,48,48.0,IA
Kansas,2024,48,266.0,KS
Kentucky,2024,48,1309.0,KY
Louisiana,2024,48,2061.0,LA
Maine,2024,48,184.0,ME
Maryland,2024,48,1250.0,MD
Massachusetts,2024,48,1733.0,MA
Michigan,2024,48,2379.0,MI
Minnesota,2024,48,485.0,MN
Mississippi,2024,48,481.0,MS
Missouri,2024,48,303.0,MO
Montana,2024,48,16.0,MT
Nebraska,2024,48,258.0,NE
Nevada,2024,48,1211.0,NV
New Hampshire,2024,48,109.0,NH
New Jersey,2024,48,1219.0,NJ
New Mexico,2024,48,634.0,NM
New York,2024,48,2012.0,NY
North Carolina,2024,48,1982.0,NC
North Dakota,2024,48,124.0,ND
Ohio,2024,48,1200.0,OH
Oklahoma,2024,48,299.0,OK
Oregon,2024,48,824.0,OR
Pennsylvania,2024,48,950.0,PA
Rhode Island,2024,48,143.0,RI
South Carolina,2024,48,960.0,SC
South Dakota,2024,48,78.0,SD
Tennessee,2024,48,1099.0,TN
Texas,2024,48,1531.0,TX
Utah,2024,48,289.0,UT
Vermont,2024,48,41.0,VT
Virginia,2024,48,4057.0,VA
Washington,2024,48,1864.0,WA
West Virginia,2024,48,66.0,WV
Wisconsin,2024,48,477.0,WI
Wyoming,2024,48,35.0,WY
