STATENAME,ACTIVITY LEVEL,WEEK,SEASON
Indiana,Level 4,43,2024-25
Iowa,Level 2,43,2024-25
Kansas,Level 2,43,2024-25
Kentucky,Level 1,43,2024-25
Louisiana,Level 3,43,2024-25
Maine,Level 3,43,2024-25
Maryland,Level 4,43,2024-25
Massachusetts,Level 3,43,2024-25
Michigan,Level 2,43,2024-25
Minnesota,Level 1,43,2024-25
Mississippi,Level 1,43,2024-25
Missouri,Level 1,43,2024-25
Montana,Level 1,43,2024-25
Nebraska,Level 1,43,2024-25
Nevada,Level 1,43,2024-25
New Hampshire,Level 3,43,2024-25
New Jersey,Level 5,43,2024-25
New Mexico,Level 1,43,2024-25
New York,Level 3,43,2024-25
North Carolina,Level 3,43,2024-25
North Dakota,Level 1,43,2024-25
Ohio,Level 4,43,2024-25
Oklahoma,Level 1,43,2024-25
Oregon,Level 1,43,2024-25
Pennsylvania,Level 2,43,2024-25
Rhode Island,Level 3,43,2024-25
South Carolina,Level 3,43,2024-25
South Dakota,Level 1,43,2024-25
Tennessee,Level 1,43,2024-25
Texas,Level 1,43,2024-25
Utah,Level 1,43,2024-25
Vermont,Level 1,43,2024-25
Virginia,Level 4,43,2024-25
Washington,Level 1,43,2024-25
West Virginia,Level 1,43,2024-25
Wisconsin,Level 3,43,2024-25
Wyoming,Level 1,43,2024-25
New York City,Level 3,43,2024-25
Commonwealth of the Northern Mariana Islands,Level 1,43,2024-25
Puerto Rico,Level 1,43,2024-25
Virgin Islands,Level 1,43,2024-25
Alabama,Level 3,44,2024-25
Alaska,Level 2,44,2024-25
Arizona,Level 2,44,2024-25
Arkansas,Level 2,44,2024-25
California,Level 2,44,2024-25
Colorado,Level 1,44,2024-25
Connecticut,Level 4,44,2024-25
Delaware,Level 1,44,2024-25
District of Columbia,Level 10,44,2024-25
Florida,Level 3,44,2024-25
Georgia,Level 4,44,2024-25
Hawaii,Level 1,44,2024-25
Idaho,Level 1,44,2024-25
Illinois,Level 1,44,2024-25
Indiana,Level 4,44,2024-25
Iowa,Level 2,44,2024-25
Kansas,Level 2,44,2024-25
Kentucky,Level 1,44,2024-25
Louisiana,Level 3,44,2024-25
Maine,Level 3,44,2024-25
Maryland,Level 4,44,2024-25
Massachusetts,Level 3,44,2024-25
Michigan,Level 2,44,2024-25
Minnesota,Level 1,44,2024-25
Mississippi,Level 2,44,2024-25
Missouri,Level 1,44,2024-25
Montana,Level 1,44,2024-25
Nebraska,Level 1,44,2024-25
Nevada,Level 1,44,2024-25
New Hampshire,Level 3,44,2024-25
New Jersey,Level 4,44,2024-25
New Mexico,Level 1,44,2024-25
New York,Level 3,44,2024-25
North Carolina,Level 3,44,2024-25
North Dakota,Level 1,44,2024-25
Ohio,Level 4,44,2024-25
Oklahoma,Level 1,44,2024-25
Oregon,Level 1,44,2024-25
Pennsylvania,Level 3,44,2024-25
Rhode Island,Level 2,44,2024-25
South Carolina,Level 3,44,2024-25
South Dakota,Level 1,44,2024-25
Tennessee,Level 2,44,2024-25
Texas,Level 2,44,2024-25
Utah,Level 1,44,2024-25
Vermont,Level 1,44,2024-25
Virginia,Level 4,44,2024-25
Washington,Level 1,44,2024-25
West Virginia,Level 1,44,2024-25
Wisconsin,Level 3,44,2024-25
Wyoming,Level 1,44,2024-25
New York City,Level 3,44,2024-25
Commonwealth of the Northern Mariana Islands,Level 3,44,2024-25
Puerto Rico,Level 1,44,2024-25
Virgin Islands,Level 3,44,2024-25
Alabama,Level 3,45,2024-25
Alaska,Level 1,45,2024-25
Arizona,Level 3,45,2024-25
Arkansas,Level 2,45,2024-25
California,Level 3,45,2024-25
Colorado,Level 2,45,2024-25
Connecticut,Level 4,45,2024-25
Delaware,Level 1,45,2024-25
District of Columbia,Level 6,45,2024-25
Florida,Level 4,45,2024-25
Georgia,Level 5,45,2024-25
Hawaii,Level 1,45,2024-25
Idaho,Level 1,45,2024-25
Illinois,Level 1,45,2024-25
Indiana,Level 3,45,2024-25
Iowa,Level 1,45,2024-25
Kansas,Level 2,45,2024-25
Kentucky,Level 1,45,2024-25
Louisiana,Level 5,45,2024-25
Maine,Level 3,45,2024-25
Maryland,Level 4,45,2024-25
Massachusetts,Level 3,45,2024-25
Michigan,Level 2,45,2024-25
Minnesota,Level 1,45,2024-25
Mississippi,Level 3,45,2024-25
Missouri,Level 2,45,2024-25
Montana,Level 1,45,2024-25
Nebraska,Level 1,45,2024-25
Nevada,Level 2,45,2024-25
New Hampshire,Level 2,45,2024-25
New Jersey,Level 4,45,2024-25
New Mexico,Level 2,45,2024-25
New York,Level 4,45,2024-25
North Carolina,Level 4,45,2024-25
North Dakota,Level 1,45,2024-25
Ohio,Level 4,45,2024-25
Oklahoma,Level 1,45,2024-25
Oregon,Level 2,45,2024-25
Pennsylvania,Level 3,45,2024-25
Rhode Island,Level 2,45,2024-25
South Carolina,Level 4,45,2024-25
South Dakota,Level 1,45,2024-25
Tennessee,Level 4,45,2024-25
Texas,Level 2,45,2024-25
Utah,Level 1,45,2024-25
Vermont,Level 1,45,2024-25
Virginia,Level 4,45,2024-25
Washington,Level 2,45,2024-25
West Virginia,Level 1,45,2024-25
Wisconsin,Level 3,45,2024-25
Wyoming,Level 1,45,2024-25
New York City,Level 3,45,2024-25
Commonwealth of the Northern Mariana Islands,Level 3,45,2024-25
Puerto Rico,Level 2,45,2024-25
Virgin Islands,Level 5,45,2024-25
Alabama,Level 4,46,2024-25
Alaska,Level 2,46,2024-25
Arizona,Level 4,46,2024-25
Arkansas,Level 2,46,2024-25
California,Level 4,46,2024-25
Colorado,Level 2,46,2024-25
Connecticut,Level 4,46,2024-25
Delaware,Level 1,46,2024-25
District of Columbia,Level 8,46,2024-25
Florida,Level 5,46,2024-25
Georgia,Level 6,46,2024-25
Hawaii,Level 1,46,2024-25
Idaho,Level 1,46,2024-25
Illinois,Level 1,46,2024-25
Indiana,Level 4,46,2024-25
Iowa,Level 1,46,2024-25
Kansas,Level 2,46,2024-25
Kentucky,Level 1,46,2024-25
Louisiana,Level 6,46,2024-25
Maine,Level 3,46,2024-25
Maryland,Level 4,46,2024-25
Massachusetts,Level 3,46,2024-25
Michigan,Level 2,46,2024-25
Minnesota,Level 1,46,2024-25
Mississippi,Level 3,46,2024-25
Missouri,Level 1,46,2024-25
Montana,Level 1,46,2024-25
Nebraska,Level 1,46,2024-25
Nevada,Level 3,46,2024-25
New Hampshire,Level 3,46,2024-25
New Jersey,Level 5,46,2024-25
New Mexico,Level 3,46,2024-25
New York,Level 4,46,2024-25
North Carolina,Level 4,46,2024-25
North Dakota,Level 1,46,2024-25
Ohio,Level 5,46,2024-25
Oklahoma,Level 2,46,2024-25
Oregon,Level 2,46,2024-25
Pennsylvania,Level 3,46,2024-25
Rhode Island,Level 2,46,2024-25
South Carolina,Level 5,46,2024-25
South Dakota,Level 1,46,2024-25
Tennessee,Level 5,46,2024-25
Texas,Level 4,46,2024-25
Utah,Level 1,46,2024-25
Vermont,Level 1,46,2024-25
Virginia,Level 4,46,2024-25
Washington,Level 2,46,2024-25
West Virginia,Level 1,46,2024-25
Wisconsin,Level 3,46,2024-25
Wyoming,Level 1,46,2024-25
New York City,Level 4,46,2024-25
Commonwealth of the Northern Mariana Islands,Level 5,46,2024-25
Puerto Rico,Level 3,46,2024-25
Virgin Islands,Level 2,46,2024-25
Alabama,Level 4,47,2024-25
Alaska,Level 1,47,2024-25
Arizona,Level 6,47,2024-25
Arkansas,Level 3,47,2024-25
California,Level 5,47,2024-25
Colorado,Level 3,47,2024-25
Connecticut,Level 4,47,2024-25
Delaware,Level 1,47,2024-25
District of Columbia,Level 11,47,2024-25
Florida,Level 5,47,2024-25
Georgia,Level 7,47,2024-25
Hawaii,Level 1,47,2024-25
Idaho,Level 3,47,2024-25
Illinois,Level 2,47,2024-25
Indiana,Level 5,47,2024-25
Iowa,Level 1,47,2024-25
Kansas,Level 4,47,2024-25
Kentucky,Level 1,47,2024-25
Louisiana,Level 8,47,2024-25
Maine,Level 3,47,2024-25
Maryland,Level 5,47,2024-25
Massachusetts,Level 3,47,2024-25
Michigan,Level 2,47,2024-25
Minnesota,Level 1,47,2024-25
Mississippi,Level 3,47,2024-25
Missouri,Level 2,47,2024-25
Montana,Level 1,47,2024-25
Nebraska,Level 1,47,2024-25
Nevada,Level 4,47,2024-25
New Hampshire,Level 3,47,2024-25
New Jersey,Level 6,47,2024-25
New Mexico,Level 3,47,2024-25
New York,Level 4,47,2024-25
North Carolina,Level 4,47,2024-25
North Dakota,Level 1,47,2024-25
Ohio,Level 5,47,2024-25
Oklahoma,Level 2,47,2024-25
Oregon,Level 4,47,2024-25
Pennsylvania,Level 3,47,2024-25
Rhode Island,Level 2,47,2024-25
South Carolina,Level 5,47,2024-25
South Dakota,Level 1,47,2024-25
Tennessee,Level 4,47,2024-25
Texas,Level 5,47,2024-25
Utah,Level 1,47,2024-25
Vermont,Level 1,47,2024-25
Virginia,Level 5,47,2024-25
Washington,Level 3,47,2024-25
West Virginia,Level 1,47,2024-25
Wisconsin,Level 4,47,2024-25
