AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Delaware,All,2023-24,36,,6.8,6.8,0,13,5,13,190,> 100%
State,Delaware,All,2023-24,37,,5.7,6.2,0,11,2,12,194,> 100%
State,Delaware,All,2023-24,38,,5.9,7.4,0,12,5,15,204,> 100%
State,Delaware,All,2023-24,39,,10.4,12.1,0,18,7,21,173,> 100%
State,District of Columbia,All,2023-24,40,,7.9,10.1,0,7,2,9,89,> 100%
State,District of Columbia,All,2023-24,41,,8.3,10.4,0,8,3,10,96,> 100%
State,District of Columbia,All,2023-24,42,,2.4,3.6,0,2,2,3,83,> 100%
State,District of Columbia,All,2023-24,43,,4.7,5.7,0,5,2,6,106,> 100%
State,District of Columbia,All,2023-24,44,,10.1,11.1,0,10,4,11,99,> 100%
State,District of Columbia,All,2023-24,45,,0,2.3,0,0,2,2,86,> 100%
State,District of Columbia,All,2023-24,46,,6.8,7.6,1,8,2,10,132,> 100%
State,District of Columbia,All,2023-24,47,,4.3,6.4,0,4,3,6,94,> 100%
State,District of Columbia,All,2023-24,48,,4.1,4.1,0,4,1,4,97,> 100%
State,District of Columbia,All,2023-24,49,,6.1,6.1,0,7,3,7,115,> 100%
State,District of Columbia,All,2023-24,50,,4.7,4.7,0,4,1,4,86,> 100%
State,District of Columbia,All,2023-24,51,,11.8,12.9,0,11,2,12,93,> 100%
State,District of Columbia,All,2023-24,52,,8,8,0,7,2,7,87,> 100%
State,District of Columbia,All,2023-24,1,,7.5,8.5,0,8,3,9,106,> 100%
State,District of Columbia,All,2023-24,2,,8.9,10,2,6,1,9,90,> 100%
State,District of Columbia,All,2023-24,3,,5.1,5.1,1,4,1,5,99,> 100%
State,District of Columbia,All,2023-24,4,,9,12.4,0,8,5,11,89,> 100%
State,District of Columbia,All,2023-24,5,,10.4,13.2,0,11,4,14,106,> 100%
State,District of Columbia,All,2023-24,6,,11.6,16.8,0,11,6,16,95,> 100%
State,District of Columbia,All,2023-24,7,,4.6,5.6,0,5,2,6,108,> 100%
State,District of Columbia,All,2023-24,8,,5.4,5.4,0,6,0,6,111,> 100%
State,District of Columbia,All,2023-24,9,,7.9,9,0,7,3,8,89,> 100%
State,District of Columbia,All,2023-24,10,,9.5,10.3,0,11,3,12,116,> 100%
State,District of Columbia,All,2023-24,11,,7.9,11.2,1,6,4,10,89,> 100%
State,District of Columbia,All,2023-24,12,,8.1,8.1,0,7,0,7,86,> 100%
State,District of Columbia,All,2023-24,13,,5.7,5.7,0,5,0,5,87,> 100%
State,District of Columbia,All,2023-24,14,,3.7,3.7,0,3,1,3,81,> 100%
State,District of Columbia,All,2023-24,15,,8.2,8.2,0,8,0,8,97,> 100%
State,District of Columbia,All,2023-24,16,,6.4,7.4,0,6,2,7,94,> 100%
State,District of Columbia,All,2023-24,17,,4.5,4.5,0,4,0,4,88,> 100%
State,District of Columbia,All,2023-24,18,,3,3,0,3,0,3,99,> 100%
State,District of Columbia,All,2023-24,19,,6.1,6.1,0,6,0,6,99,> 100%
State,District of Columbia,All,2023-24,20,,5.6,5.6,0,5,0,5,89,> 100%
State,District of Columbia,All,2023-24,21,,4.9,4.9,0,4,0,4,81,> 100%
State,District of Columbia,All,2023-24,22,,2.1,2.1,0,2,0,2,96,> 100%
State,District of Columbia,All,2023-24,23,,5.5,5.5,1,4,0,5,91,> 100%
State,District of Columbia,All,2023-24,24,,7.2,7.2,0,6,0,6,83,> 100%
State,District of Columbia,All,2023-24,25,,6,6,0,5,0,5,83,> 100%
State,District of Columbia,All,2023-24,26,,7.3,7.3,0,8,0,8,110,> 100%
State,District of Columbia,All,2023-24,27,,2.8,2.8,0,3,1,3,108,> 100%
State,District of Columbia,All,2023-24,28,,5.8,7,0,5,2,6,86,> 100%
State,District of Columbia,All,2023-24,29,,4.2,4.2,0,4,1,4,96,> 100%
State,District of Columbia,All,2023-24,30,,5.3,6.4,0,5,2,6,94,> 100%
State,District of Columbia,All,2023-24,31,,4.3,4.3,0,4,1,4,93,> 100%
State,District of Columbia,All,2023-24,32,,3.6,3.6,0,3,1,3,84,> 100%
State,District of Columbia,All,2023-24,33,,3.9,3.9,0,3,0,3,76,> 100%
State,District of Columbia,All,2023-24,34,,8.7,8.7,0,6,0,6,69,> 100%
State,District of Columbia,All,2023-24,35,,7.7,8.8,0,7,3,8,91,> 100%
State,District of Columbia,All,2023-24,36,,5.9,9.4,0,5,3,8,85,> 100%
State,District of Columbia,All,2023-24,37,,6.6,6.6,0,5,0,5,76,> 100%
State,District of Columbia,All,2023-24,38,,6,7.2,0,5,1,6,83,> 100%
State,District of Columbia,All,2023-24,39,,4.3,5.4,0,4,1,5,93,> 100%
State,Florida,All,2023-24,40,,6.6,7.7,2,277,103,323,"4,214",> 100%
State,Florida,All,2023-24,41,,7,8.1,10,294,96,351,"4,324",> 100%
State,Florida,All,2023-24,42,,6.6,7.8,4,271,96,327,"4,194",> 100%
State,Florida,All,2023-24,43,,6.6,7.3,9,273,75,314,"4,293",> 100%
State,Florida,All,2023-24,44,,6.4,7.3,9,268,71,315,"4,309",> 100%
State,Florida,All,2023-24,45,,7.4,8.3,11,316,71,365,"4,423",> 100%
State,Florida,All,2023-24,46,,7.1,7.9,12,293,67,338,"4,301",> 100%
State,Florida,All,2023-24,47,,6.8,7.4,11,267,50,302,"4,108",> 100%
State,Florida,All,2023-24,48,,7.3,8,17,299,65,349,"4,357",> 100%
State,Florida,All,2023-24,49,,7.3,8.1,19,314,69,368,"4,551",> 100%
State,Florida,All,2023-24,50,,7.2,8.2,15,310,70,368,"4,502",> 100%
State,Florida,All,2023-24,51,,7.4,8.1,28,298,50,360,"4,424",> 100%
State,Florida,All,2023-24,52,,8.2,8.9,36,336,66,400,"4,516",> 100%
State,Florida,All,2023-24,1,,9,10.3,41,393,123,498,"4,827",> 100%
State,Florida,All,2023-24,2,,9.4,10.7,40,427,134,533,"4,976",> 100%
State,Florida,All,2023-24,3,,8.7,10,50,369,120,483,"4,840",> 100%
State,Florida,All,2023-24,4,,7.8,9.1,24,349,122,434,"4,768",> 100%
State,Florida,All,2023-24,5,,8,9.5,38,325,140,431,"4,558",> 100%
State,Florida,All,2023-24,6,,8.3,9.9,27,362,145,462,"4,661",> 100%
State,Florida,All,2023-24,7,,8.1,9.5,35,335,132,435,"4,583",> 100%
State,Florida,All,2023-24,8,,7.8,9.2,30,325,116,418,"4,551",> 100%
State,Florida,All,2023-24,9,,7.4,8.6,19,321,104,394,"4,605",> 100%
State,Florida,All,2023-24,10,,7.3,8.3,24,313,87,380,"4,591",> 100%
State,Florida,All,2023-24,11,,6.8,7.7,18,273,80,330,"4,285",> 100%
State,Florida,All,2023-24,12,,7.4,8.2,18,305,70,358,"4,365",> 100%
State,Florida,All,2023-24,13,,6.8,7.3,11,288,50,323,"4,427",> 100%
State,Florida,All,2023-24,14,,6.2,6.7,12,257,50,294,"4,357",> 100%
State,Florida,All,2023-24,15,,7.3,7.8,8,313,46,346,"4,417",> 100%
State,Florida,All,2023-24,16,,6.2,6.7,13,248,36,282,"4,233",> 100%
State,Florida,All,2023-24,17,,6,6.6,7,246,38,277,"4,227",> 100%
State,Florida,All,2023-24,18,,6.7,7.2,10,275,45,305,"4,239",> 100%
State,Florida,All,2023-24,19,,6.3,6.7,8,266,31,293,"4,368",> 100%
State,Florida,All,2023-24,20,,6.3,6.6,7,250,32,272,"4,102",> 100%
State,Florida,All,2023-24,21,,4.9,5.2,2,205,26,223,"4,250",> 100%
State,Florida,All,2023-24,22,,6.4,6.8,10,262,30,289,"4,221",> 100%
State,Florida,All,2023-24,23,,6,6.4,4,254,33,275,"4,324",> 100%
State,Florida,All,2023-24,24,,6.1,6.7,3,260,43,287,"4,295",> 100%
State,Florida,All,2023-24,25,,6.2,6.6,8,251,52,276,"4,206",> 100%
State,Florida,All,2023-24,26,,7.2,7.7,3,302,48,326,"4,238",> 100%
State,Florida,All,2023-24,27,,6.5,7.3,5,259,63,295,"4,053",> 100%
